mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_svm__C,param_svm__class_weight,param_svm__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7505171775817872,0.21925588890896416,0.25650792121887206,0.04927969287863741,150,3,,scale,"{'selector__k': 150, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.6043810221461505,0.45066991048977484,0.43059640726701737,0.5409745307560437,0.46183323140282834,0.497691020412363,0.06519918966023291,1
0.6877001285552978,0.21650497507003164,0.20289716720581055,0.047470291972374644,150,10,balanced,scale,"{'selector__k': 150, 'svm__C': 10, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale'}",0.5636807705345263,0.45704879443174173,0.4566870924080227,0.5278080304593896,0.4667447262975063,0.49439388282623736,0.04358465692864235,2
0.6923702239990235,0.19066767180824615,0.18603754043579102,0.020015097792544283,150,10,,scale,"{'selector__k': 150, 'svm__C': 10, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.5636807705345263,0.45704879443174173,0.4566870924080227,0.5278080304593896,0.4667447262975063,0.49439388282623736,0.04358465692864235,2
0.7440662860870362,0.10161819068219034,0.28678264617919924,0.04797003001356818,150,3,balanced,scale,"{'selector__k': 150, 'svm__C': 3, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale'}",0.5949013251977888,0.44100834849076426,0.4318239835765609,0.5412285853396104,0.45668818497846153,0.4931300855166372,0.06399058779535399,4
0.8590644359588623,0.39209053456103105,0.253433895111084,0.09338747075901917,150,30,balanced,scale,"{'selector__k': 150, 'svm__C': 30, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale'}",0.5636807705345263,0.45139866175160287,0.45392721379739637,0.5278080304593896,0.4667447262975063,0.4927118805680843,0.04506361860007625,5
0.6658051967620849,0.14997401601505622,0.17229018211364747,0.015431737302825821,150,30,,scale,"{'selector__k': 150, 'svm__C': 30, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.5636807705345263,0.45139866175160287,0.45392721379739637,0.5278080304593896,0.4667447262975063,0.4927118805680843,0.04506361860007625,5
0.6628242015838623,0.12336004126031248,0.2021923542022705,0.020079547133822106,125,1,,scale,"{'selector__k': 125, 'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.5254009845942402,0.44235449437025004,0.43165449852552223,0.5900579729576358,0.4653529558002695,0.4909641812495836,0.05923166040561191,7
0.7518779277801514,0.19296638475114977,0.24048829078674316,0.04987526115297452,125,1,,0.01,"{'selector__k': 125, 'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 0.01}",0.5261529027687294,0.43839249895119875,0.4473812112775421,0.589758832498016,0.4378210657628715,0.4879013022516716,0.0607275404961741,8
0.8373693466186524,0.1882952301024482,0.25456905364990234,0.10191862851092999,125,3,,scale,"{'selector__k': 125, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.5456202163843888,0.45007569026197947,0.43758824717471334,0.5330643648058045,0.4720309742840051,0.4876758985821783,0.043783487703083865,9
0.5762614250183106,0.07525093143922412,0.21630711555480958,0.026065128493853913,150,1,,scale,"{'selector__k': 150, 'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.5232463513602675,0.4434686935143145,0.4412028558927426,0.5754957673202643,0.45479993388440554,0.4876427203943988,0.05323989234321889,10
0.766029167175293,0.10653151705592459,0.21972894668579102,0.05653011134001647,125,3,,0.01,"{'selector__k': 125, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 0.01}",0.5463263895706181,0.4461942224414459,0.42986861302697527,0.5361806035069281,0.47881701233764445,0.4874773681767223,0.04676169587517466,11
0.8548588275909423,0.2171223691120685,0.1610262870788574,0.026491040591638426,100,3,,scale,"{'selector__k': 100, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 'scale'}",0.5336681996353316,0.4299509319874291,0.4338895404399806,0.5491047737266145,0.48602549531875644,0.48652778822162246,0.04921397279670097,12
0.5717210292816162,0.12064791716213123,0.1722881317138672,0.062047585380297095,100,3,,0.01,"{'selector__k': 100, 'svm__C': 3, 'svm__class_weight': None, 'svm__gamma': 0.01}",0.5336681996353316,0.4299509319874291,0.4338895404399806,0.5491047737266145,0.48602549531875644,0.48652778822162246,0.04921397279670097,12
0.7579998016357422,0.20979514362457088,0.23385205268859863,0.014662930245943492,125,1,balanced,0.01,"{'selector__k': 125, 'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 0.01}",0.52328872694904,0.4269950983517867,0.46257073047266356,0.5641640910302547,0.4449387261168209,0.4843914745841132,0.05138808191790697,14
0.7319291114807129,0.11312171463557176,0.2623699188232422,0.04933504204429443,125,3,balanced,0.01,"{'selector__k': 125, 'svm__C': 3, 'svm__class_weight': 'balanced', 'svm__gamma': 0.01}",0.5495511802164991,0.4381582823247586,0.43062015808097526,0.5401709276481957,0.46344578305826223,0.4843892662657382,0.050645274481063284,15
1.073578453063965,0.425726003684792,0.34876179695129395,0.19890499024928968,150,1,,0.01,"{'selector__k': 150, 'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 0.01}",0.5382228963103913,0.4059102922983308,0.4513248562318379,0.5780465395547819,0.4376424659351489,0.4822294100660982,0.06493671931461038,16
0.7389954566955567,0.2449728232860158,0.24979915618896484,0.12329500444425592,125,3,balanced,scale,"{'selector__k': 125, 'svm__C': 3, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale'}",0.5323078764992615,0.4390754843842177,0.4399770734013356,0.529143850193466,0.46995772689106463,0.48209240227386907,0.04124764017595259,17
